Agency,Location,Numbers of Incidents
BROOKFIELD,"Brookfield, MO",1
COLUMBIA,"Columbia, MO",2
FREDERICKTOWN,"Fredericktown, MO",1
GLADSTONE,"Gladstone, MO",1
INDEPENDENCE,"Independence, MO",2
KANSAS CITY,"Kansas City, MO",23
KIRKSVILLE,"Kirksville, MO",1
LACLEDE CO - RURAL,"Laclede County, MO",1
LEE'S SUMMIT,"Lee's Summit, MO",1
MARYVILLE,"Maryville, MO",1
MERAMEC COLLEGE PD,"St.Louis, MO",1
NODAWAY CO - RURAL,"Nodaway County, MO",1
NORTHWEST MO ST UNIV,"Maryville, MO",1
OVERLAND,"Overland, MO",1
PAGEDALE,"Pagedale, MO",1
ROLLA,"Rolla, MO",2
SCHUYLER CO - RURAL,"Schuyler County, MO",1
SPRINGFIELD,"Springfield, MO",3
ST JOSEPH,"St.Joseph, MO",1
ST. LOUIS CITY,"St.Louis City, MO",5
ST. LOUIS COUNTY,"St. Louis County, MO",3
TANEY CO - RURAL,"Taney County, Mo",1
UNIV OF MO - COLUMBIA,"Columbia, MO",4
UNIVERSITY CITY,"University City, MO",3
WARRENTON,"Warrenton, MO",1
WORTH CO - RURAL,"Worth County, MO",1